Genotype,Sample,X,Y
1214,2240,88.61667,-0.001468154296
1214,2240,88.65,-0.002515155764
1214,2240,88.68333,-0.003525718277
1214,2240,88.71667,-0.004470707445
1214,2240,88.75,-0.005327592725
1214,2240,88.78333,-0.006082161873
1214,2240,88.81667,-0.006753475851
1214,2240,88.85,-0.007368913922
1214,2240,88.88333,-0.007947832982
1214,2240,88.91667,-0.008477500456
1214,2240,88.95,-0.008937161403
1214,2240,88.98333,-0.009305470799
1214,2240,89.01667,-0.009558723284
1214,2240,89.05,-0.009672623414
1214,2240,89.08333,-0.009638053427
1214,2240,89.11667,-0.009506606282
1214,2240,89.15,-0.009345052619
1214,2240,89.18333,-0.009214582763
1214,2240,89.21667,-0.009154065792
1214,2240,89.25,-0.009196790468
1214,2240,89.28333,-0.009366005788
1214,2240,89.31667,-0.009644801686
1214,2240,89.35,-0.01000622833
1214,2240,89.38333,-0.010420676
1214,2240,89.41667,-0.01084789546
1214,2240,89.45,-0.01124497756
1214,2240,89.48333,-0.01157156522
1214,2240,89.51667,-0.0117975095
1214,2240,89.55,-0.0118952135
1214,2240,89.58333,-0.01185231762
1214,2240,89.61667,-0.01171741152
1214,2240,89.65,-0.01155432214
1214,2240,89.68333,-0.01141839613
1214,2240,89.71667,-0.01133105891
1214,2240,89.75,-0.01130525562
1214,2240,89.78333,-0.01134352883
1214,2240,89.81667,-0.01140681096
1214,2240,89.85,-0.01144563189
1214,2240,89.88333,-0.01142159524
1214,2240,89.91667,-0.01134059967
1214,2240,89.95,-0.01121961759
1214,2240,89.98333,-0.01107576743
1214,2240,90.01667,-0.01092675157
1214,2240,90.05,-0.01079041844
1214,2240,90.08333,-0.01068496795
1214,2240,90.11667,-0.01063000615
1214,2240,90.15,-0.01064549058
1214,2240,90.18333,-0.01075382378
1214,2240,90.21667,-0.01098718821
1214,2240,90.25,-0.01138021129
1214,2240,90.28333,-0.01194446456
1214,2240,90.31667,-0.01259929591
1214,2240,90.35,-0.01324099734
1214,2240,90.38333,-0.01378113425
1214,2240,90.41667,-0.01419236571
1214,2240,90.45,-0.01446262422
1214,2240,90.48333,-0.01458742316
1214,2240,90.51667,-0.01459259942
1214,2240,90.55,-0.01451157079
1214,2240,90.58333,-0.01437582245
1214,2240,90.61667,-0.01420910914
1214,2240,90.65,-0.01403325304
1214,2240,90.68333,-0.01387144195
1214,2240,90.71667,-0.01375232632
1214,2240,90.75,-0.01370592227
1214,2240,90.78333,-0.01374668926
1214,2240,90.81667,-0.01382686026
1214,2240,90.85,-0.0138831116
1214,2240,90.88333,-0.0138667412
